SR_lD,Basisszenario,Kamera,Links_RVA,Tr_li-Breite,Tr_li-Art,Tr_li_baulTrennung,RVA-Breite,Tr_re-Breite,Tr_re-Art,GW-Breite,GW-Geschaeftsnutzung,Haeuserfront,SceneID,Häufigkeit
1,01,C,Parken,-,-,-,schmal,-,-,schmal,-,normal,01_CP_C_1,1
2,01,C,Parken,schmal,Gruenstreifen,-,schmal,-,-,schmal,-,normal,01_CP_C_2,1
3,01,C,Parken,schmal,Aufpflasterung,-,schmal,-,-,schmal,-,normal,01_CP_C_3,1
4,01,C,Parken,breit,Gruenstreifen,-,schmal,-,-,schmal,-,normal,01_CP_C_4,1
5,01,C,Parken,breit,Aufpflasterung,-,schmal,-,-,schmal,-,normal,01_CP_C_5,1
6,01,C,Parken,schmal,Gruenstreifen,Sperrpfosten,schmal,-,-,schmal,-,normal,01_CP_C_6,1
7,01,C,Parken,schmal,Aufpflasterung,Sperrpfosten,schmal,-,-,schmal,-,normal,01_CP_C_7,1
8,01,C,Parken,breit,Gruenstreifen,Sperrpfosten,schmal,-,-,schmal,-,normal,01_CP_C_8,1
9,01,C,Parken,breit,Aufpflasterung,Sperrpfosten,schmal,-,-,schmal,-,normal,01_CP_C_9,1
10,01,C,Parken,-,-,-,schmal,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_10,1
11,01,C,Parken,schmal,Gruenstreifen,-,schmal,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_11,1
12,01,C,Parken,schmal,Aufpflasterung,-,schmal,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_12,1
13,01,C,Parken,breit,Gruenstreifen,-,schmal,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_13,1
14,01,C,Parken,breit,Aufpflasterung,-,schmal,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_14,1
15,01,C,Parken,schmal,Gruenstreifen,Sperrpfosten,schmal,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_15,1
16,01,C,Parken,schmal,Aufpflasterung,Sperrpfosten,schmal,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_16,1
17,01,C,Parken,breit,Gruenstreifen,Sperrpfosten,schmal,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_17,1
18,01,C,Parken,breit,Aufpflasterung,Sperrpfosten,schmal,schmal,Gruenstreifen,schmal,-,normal,01_CP_C_18,1
19,01,C,Parken,-,-,-,schmal,breit,Gruenstreifen,schmal,-,normal,01_CP_C_19,1
20,01,C,Parken,schmal,Gruenstreifen,-,schmal,breit,Gruenstreifen,schmal,-,normal,01_CP_C_20,1
21,01,C,Parken,schmal,Aufpflasterung,-,schmal,breit,Gruenstreifen,schmal,-,normal,01_CP_C_21,1
22,01,C,Parken,breit,Gruenstreifen,-,schmal,breit,Gruenstreifen,schmal,-,normal,01_CP_C_22,1
23,01,C,Parken,breit,Aufpflasterung,-,schmal,breit,Gruenstreifen,schmal,-,normal,01_CP_C_23,1
24,01,C,Parken,schmal,Gruenstreifen,Sperrpfosten,schmal,breit,Gruenstreifen,schmal,-,normal,01_CP_C_24,1
25,01,C,Parken,schmal,Aufpflasterung,Sperrpfosten,schmal,breit,Gruenstreifen,schmal,-,normal,01_CP_C_25,1
26,01,C,Parken,breit,Gruenstreifen,Sperrpfosten,schmal,breit,Gruenstreifen,schmal,-,normal,01_CP_C_26,1
