HVS_lD,Basisszenario,FS-Art,FS-Aufkommen,FS-Geschwindigkeit,RVA-Breite,RVA-Lage,RVA-Oberfläche,Tr_li-Breite,Tr_li-Markierung,Tr_li-baulTrennung,Tr_re-Breite,Tr_re-Markierung,Parken,Kamera,Kommentar,SceneID,Häufigkeit,meherere_Kameraperspektive
1,1,Kfz,normal,50,-,-,-,-,-,-,-,-,-,C,,01_MS_C_1,1,nein
8,1,Bus,normal,50,-,-,-,-,-,-,-,-,-,C,,01_MS_C_8,1,nein
17,1,Tram,normal,50,-,-,-,-,-,-,-,-,-,C,,01_MS_C_17,1,nein
24,1,Kfz,hoch,50,-,-,-,-,-,-,-,-,-,C,,01_MS_C_24,1,nein
33,1,Einbahn,hoch,50,-,-,-,-,-,-,-,-,-,C,,01_MS_C_33,1,nein
47,1,Kfz,normal,30,-,-,-,-,-,-,-,-,-,C,,01_MS_C_47,1,ja
54,1,Bus,normal,30,-,-,-,-,-,-,-,-,-,C,,01_MS_C_54,1,nein
63,1,Tram,normal,30,-,-,-,-,-,-,-,-,-,C,,01_MS_C_63,1,ja
70,1,Kfz,hoch,30,-,-,-,-,-,-,-,-,-,C,,01_MS_C_70,1,nein
79,1,Einbahn,hoch,30,-,-,-,-,-,-,-,-,-,C,,01_MS_C_79,1,nein
2,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_2,1,nein
18,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_18,1,nein
25,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_25,1,nein
34,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_34,1,nein
48,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_48,1,ja
64,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_64,1,ja
71,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_71,1,nein
80,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_80,1,nein
93,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_93,1,nein
103,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_103,1,nein
108,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_108,1,nein
113,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_113,1,nein
123,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_123,1,ja
133,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_133,1,ja
138,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_138,1,nein
143,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_143,1,nein
153,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_153,1,nein
163,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_163,1,nein
168,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_168,1,nein
173,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_173,1,nein
183,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_183,1,ja
193,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_193,1,ja
198,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_198,1,nein
203,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,schmal,unterbrochen,-,-,-,-,C,,01_MS_C_203,1,nein
213,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,-,C,,01_MS_C_213,1,nein
223,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,-,C,,01_MS_C_223,1,nein
228,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,-,C,,01_MS_C_228,1,nein
233,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,-,C,,01_MS_C_233,1,nein
243,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,-,C,,01_MS_C_243,1,ja
253,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,-,C,,01_MS_C_253,1,ja
258,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,-,C,,01_MS_C_258,1,nein
263,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt,breit,Doppellinie,-,-,-,-,C,,01_MS_C_263,1,nein
273,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,-,C,,01_MS_C_273,1,nein
283,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,-,C,,01_MS_C_283,1,nein
288,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,-,C,,01_MS_C_288,1,nein
293,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,-,C,,01_MS_C_293,1,nein
303,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,-,C,,01_MS_C_303,1,ja
313,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,-,C,,01_MS_C_313,1,ja
318,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,-,C,,01_MS_C_318,1,nein
323,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig,breit,Doppellinie,-,-,-,-,C,,01_MS_C_323,1,nein
333,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,-,C,,01_MS_C_333,1,nein
343,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,-,C,,01_MS_C_343,1,nein
348,2,Kfz,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,-,C,,01_MS_C_348,1,nein
353,2,Einbahn,hoch,50,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,-,C,,01_MS_C_353,1,nein
363,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,-,C,,01_MS_C_363,1,ja
373,2,Tram,normal,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,-,C,,01_MS_C_373,1,ja
378,2,Kfz,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,-,C,,01_MS_C_378,1,nein
383,2,Einbahn,hoch,30,schmal,FS-Parken/Seitenraum,Asphalt - farbig Schraffur,breit,Doppellinie,-,-,-,-,C,,01_MS_C_383,1,nein
393,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_393,1,nein
403,2,Tram,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,durchgezogen,-,-,-,-,C,,01_MS_C_403,1,nein
