Experiment,Kamera,HVS_lD,SceneID,weight,Basisszenario,FS-Art,FS-Aufkommen,FS-Geschwindigkeit,RVA-Breite,RVA-Lage,RVA-Oberfläche,Tr_li-Breite,Tr_li-Markierung,Tr_li-baulTrennung,Tr_re-Breite,Tr_re-Markierung,Parken,Raus
MS,C,1,01_MS_C_1,1,1,Kfz,normal,50,-,-,-,-,-,-,-,-,-,
MS,C,2,01_MS_C_2,1,1,Kfz,normal,30,-,-,-,-,-,-,-,-,-,
MS,C,3,01_MS_C_3,1,1,Kfz,viel,50,-,-,-,-,-,-,-,-,-,
MS,C,4,01_MS_C_4,1,1,Kfz,viel,30,-,-,-,-,-,-,-,-,-,
MS,C,5,01_MS_C_5,1,1,Tram,normal,50,-,-,-,-,-,-,-,-,-,
MS,C,6,01_MS_C_6,1,1,Tram,normal,30,-,-,-,-,-,-,-,-,-,
MS,C,7,01_MS_C_7,1,1,Einbahn,viel,50,-,-,-,-,-,-,-,-,-,
MS,C,8,01_MS_C_8,1,1,Einbahn,viel,30,-,-,-,-,-,-,-,-,-,
MS,C,9,01_MS_C_9,1,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,
MS,C,10,01_MS_C_10,1,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,
MS,C,11,01_MS_C_11,1,2,Kfz,viel,50,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,
MS,C,12,01_MS_C_12,1,2,Kfz,viel,30,schmal,FS-Parken/Seitenraum,Asphalt,schmal,unterbrochen,-,-,-,-,
MS,C,13,01_MS_C_13,1,2,Kfz,normal,50,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,schmal,unterbrochen,-,-,-,-,
MS,C,14,01_MS_C_14,1,2,Kfz,normal,30,schmal,FS-Parken/Seitenraum,Asphalt-Farbig,schmal,unterbrochen,-,-,-,-,
