Basisszenario,FS-Art,besondere Merkmale,FS-Breite,Parken,Verkehrsaufkommen,Kamera,SceneID,Häufigkeit,NVS_lD
1,KFZ,-,breit,nein,normal,C,01_SE_C_1,1,1
1,KFZ,Fahrradstraße,breit,nein,normal,C,01_SE_C_2,1,2
1,KFZ,Spielstraße,breit,nein,normal,C,01_SE_C_3,1,3
1,KFZ,Fahrradstraße-Sondermarkierung,breit,nein,normal,C,01_SE_C_4,1,4
1,KFZ,Fahrradstraße-Hollandaise,breit,nein,normal,C,01_SE_C_5,1,5
1,KFZ,-,breit,nein,autofrei,C,01_SE_C_6,1,6
1,KFZ,Fahrradstraße,breit,nein,autofrei,C,01_SE_C_7,1,7
1,KFZ,Spielstraße,breit,nein,autofrei,C,01_SE_C_8,1,8
1,KFZ,Fahrradstraße-Sondermarkierung,breit,nein,autofrei,C,01_SE_C_9,1,9
1,KFZ,Fahrradstraße-Hollandaise,breit,nein,autofrei,C,01_SE_C_10,1,10
1,Einbahnstraße,-,breit,nein,normal,C,01_SE_C_11,1,11
1,Einbahnstraße,Fahrradstraße,breit,nein,normal,C,01_SE_C_12,1,12
1,Einbahnstraße,Spielstraße,breit,nein,normal,C,01_SE_C_13,1,13
1,Einbahnstraße,Fahrradstraße-Sondermarkierung,breit,nein,normal,C,01_SE_C_14,1,14
1,Einbahnstraße,Fahrradstraße-Hollandaise,breit,nein,normal,C,01_SE_C_15,1,15
1,Einbahnstraße-Gegenverkehr,-,breit,nein,normal,C,01_SE_C_16,1,16
1,Einbahnstraße-Gegenverkehr,Fahrradstraße,breit,nein,normal,C,01_SE_C_17,1,17
1,Einbahnstraße-Gegenverkehr,Spielstraße,breit,nein,normal,C,01_SE_C_18,1,18
1,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,breit,nein,normal,C,01_SE_C_19,1,19
1,Einbahnstraße-Gegenverkehr,Fahrradstraße-Hollandaise,breit,nein,normal,C,01_SE_C_20,1,20
2,KFZ,-,breit,Parken-einseitig,normal,C,01_SE_C_21,1,21
2,KFZ,Fahrradstraße,breit,Parken-einseitig,normal,C,01_SE_C_22,1,22
2,KFZ,Spielstraße,breit,Parken-einseitig,normal,C,01_SE_C_23,1,23
2,KFZ,Fahrradstraße-Sondermarkierung,breit,Parken-einseitig,normal,C,01_SE_C_24,1,24
2,KFZ,Fahrradstraße-Hollandaise,breit,Parken-einseitig,normal,C,01_SE_C_25,1,25
2,KFZ,-,breit,Parken-einseitig,autofrei,C,01_SE_C_26,1,26
2,KFZ,Fahrradstraße,breit,Parken-einseitig,autofrei,C,01_SE_C_27,1,27
2,KFZ,Spielstraße,breit,Parken-einseitig,autofrei,C,01_SE_C_28,1,28
2,KFZ,Fahrradstraße-Sondermarkierung,breit,Parken-einseitig,autofrei,C,01_SE_C_29,1,29
2,KFZ,Fahrradstraße-Hollandaise,breit,Parken-einseitig,autofrei,C,01_SE_C_30,1,30
2,Einbahnstraße,-,breit,Parken-einseitig,normal,C,01_SE_C_31,1,31
2,Einbahnstraße,Fahrradstraße,breit,Parken-einseitig,normal,C,01_SE_C_32,1,32
2,Einbahnstraße,Spielstraße,breit,Parken-einseitig,normal,C,01_SE_C_33,1,33
2,Einbahnstraße,Fahrradstraße-Sondermarkierung,breit,Parken-einseitig,normal,C,01_SE_C_34,1,34
2,Einbahnstraße,Fahrradstraße-Hollandaise,breit,Parken-einseitig,normal,C,01_SE_C_35,1,35
2,Einbahnstraße-Gegenverkehr,-,breit,Parken-einseitig,normal,C,01_SE_C_36,1,36
2,Einbahnstraße-Gegenverkehr,Fahrradstraße,breit,Parken-einseitig,normal,C,01_SE_C_37,1,37
2,Einbahnstraße-Gegenverkehr,Spielstraße,breit,Parken-einseitig,normal,C,01_SE_C_38,1,38
2,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,breit,Parken-einseitig,normal,C,01_SE_C_39,1,39
2,Einbahnstraße-Gegenverkehr,Fahrradstraße-Hollandaise,breit,Parken-einseitig,normal,C,01_SE_C_40,1,40
3,KFZ,-,breit,Parken-beidseitig,normal,C,01_SE_C_41,1,41
3,KFZ,Fahrradstraße,breit,Parken-beidseitig,normal,C,01_SE_C_42,1,42
3,KFZ,Spielstraße,breit,Parken-beidseitig,normal,C,01_SE_C_43,1,43
3,KFZ,Fahrradstraße-Sondermarkierung,breit,Parken-beidseitig,normal,C,01_SE_C_44,1,44
3,KFZ,Fahrradstraße-Hollandaise,breit,Parken-beidseitig,normal,C,01_SE_C_45,1,45
3,KFZ,-,breit,Parken-beidseitig,autofrei,C,01_SE_C_46,1,46
3,KFZ,Fahrradstraße,breit,Parken-beidseitig,autofrei,C,01_SE_C_47,1,47
3,KFZ,Spielstraße,breit,Parken-beidseitig,autofrei,C,01_SE_C_48,1,48
3,KFZ,Fahrradstraße-Sondermarkierung,breit,Parken-beidseitig,autofrei,C,01_SE_C_49,1,49
3,KFZ,Fahrradstraße-Hollandaise,breit,Parken-beidseitig,autofrei,C,01_SE_C_50,1,50
3,Einbahnstraße,-,breit,Parken-beidseitig,normal,C,01_SE_C_51,1,51
3,Einbahnstraße,Fahrradstraße,breit,Parken-beidseitig,normal,C,01_SE_C_52,1,52
3,Einbahnstraße,Spielstraße,breit,Parken-beidseitig,normal,C,01_SE_C_53,1,53
3,Einbahnstraße,Fahrradstraße-Sondermarkierung,breit,Parken-beidseitig,normal,C,01_SE_C_54,1,54
3,Einbahnstraße,Fahrradstraße-Hollandaise,breit,Parken-beidseitig,normal,C,01_SE_C_55,1,55
3,Einbahnstraße-Gegenverkehr,-,breit,Parken-beidseitig,normal,C,01_SE_C_56,1,56
3,Einbahnstraße-Gegenverkehr,Fahrradstraße,breit,Parken-beidseitig,normal,C,01_SE_C_57,1,57
3,Einbahnstraße-Gegenverkehr,Spielstraße,breit,Parken-beidseitig,normal,C,01_SE_C_58,1,58
3,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,breit,Parken-beidseitig,normal,C,01_SE_C_59,1,59
3,Einbahnstraße-Gegenverkehr,Fahrradstraße-Hollandaise,breit,Parken-beidseitig,normal,C,01_SE_C_60,1,60
4,Einbahnstraße,-,schmal,nein,normal,C,01_SE_C_61,1,61
4,Einbahnstraße,Fahrradstraße,schmal,nein,normal,C,01_SE_C_62,1,62
4,Einbahnstraße,Spielstraße,schmal,nein,normal,C,01_SE_C_63,1,63
4,Einbahnstraße,Fahrradstraße-Sondermarkierung,schmal,nein,normal,C,01_SE_C_64,1,64
4,Einbahnstraße,Fahrradstraße-Hollandaise,schmal,nein,normal,C,01_SE_C_65,1,65
4,Einbahnstraße-Gegenverkehr,-,schmal,nein,normal,C,01_SE_C_66,1,66
4,Einbahnstraße-Gegenverkehr,Fahrradstraße,schmal,nein,normal,C,01_SE_C_67,1,67
4,Einbahnstraße-Gegenverkehr,Spielstraße,schmal,nein,normal,C,01_SE_C_68,1,68
4,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,schmal,nein,normal,C,01_SE_C_69,1,69
4,Einbahnstraße-Gegenverkehr,Fahrradstraße-Hollandaise,schmal,nein,normal,C,01_SE_C_70,1,70
5,Einbahnstraße,-,schmal,Parken-einseitig,normal,C,01_SE_C_71,1,71
5,Einbahnstraße,Fahrradstraße,schmal,Parken-einseitig,normal,C,01_SE_C_72,1,72
5,Einbahnstraße,Spielstraße,schmal,Parken-einseitig,normal,C,01_SE_C_73,1,73
5,Einbahnstraße,Fahrradstraße-Sondermarkierung,schmal,Parken-einseitig,normal,C,01_SE_C_74,1,74
5,Einbahnstraße,Fahrradstraße-Hollandaise,schmal,Parken-einseitig,normal,C,01_SE_C_75,1,75
5,Einbahnstraße-Gegenverkehr,-,schmal,Parken-einseitig,normal,C,01_SE_C_76,1,76
5,Einbahnstraße-Gegenverkehr,Fahrradstraße,schmal,Parken-einseitig,normal,C,01_SE_C_77,1,77
5,Einbahnstraße-Gegenverkehr,Spielstraße,schmal,Parken-einseitig,normal,C,01_SE_C_78,1,78
5,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,schmal,Parken-einseitig,normal,C,01_SE_C_79,1,79
5,Einbahnstraße-Gegenverkehr,Fahrradstraße-Hollandaise,schmal,Parken-einseitig,normal,C,01_SE_C_80,1,80
6,Einbahnstraße,-,schmal,Parken-beidseitig,normal,C,01_SE_C_81,1,81
6,Einbahnstraße,Fahrradstraße,schmal,Parken-beidseitig,normal,C,01_SE_C_82,1,82
6,Einbahnstraße,Spielstraße,schmal,Parken-beidseitig,normal,C,01_SE_C_83,1,83
6,Einbahnstraße,Fahrradstraße-Sondermarkierung,schmal,Parken-beidseitig,normal,C,01_SE_C_84,1,84
6,Einbahnstraße,Fahrradstraße-Hollandaise,schmal,Parken-beidseitig,normal,C,01_SE_C_85,1,85
6,Einbahnstraße-Gegenverkehr,-,schmal,Parken-beidseitig,normal,C,01_SE_C_86,1,86
6,Einbahnstraße-Gegenverkehr,Fahrradstraße,schmal,Parken-beidseitig,normal,C,01_SE_C_87,1,87
6,Einbahnstraße-Gegenverkehr,Spielstraße,schmal,Parken-beidseitig,normal,C,01_SE_C_88,1,88
6,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,schmal,Parken-beidseitig,normal,C,01_SE_C_89,1,89
6,Einbahnstraße-Gegenverkehr,Fahrradstraße-Hollandaise,schmal,Parken-beidseitig,normal,C,01_SE_C_90,1,90
1,KFZ,-,breit,nein,normal,A,01_SE_A_1,1,1
1,KFZ,Fahrradstraße,breit,nein,normal,A,01_SE_A_2,1,2
1,KFZ,Spielstraße,breit,nein,normal,A,01_SE_A_3,1,3
1,KFZ,Fahrradstraße-Sondermarkierung,breit,nein,normal,A,01_SE_A_4,1,4
1,KFZ,Fahrradstraße-Hollandaise,breit,nein,normal,A,01_SE_A_5,1,5
1,Einbahnstraße,-,breit,nein,normal,A,01_SE_A_11,1,11
1,Einbahnstraße,Fahrradstraße,breit,nein,normal,A,01_SE_A_12,1,12
1,Einbahnstraße,Spielstraße,breit,nein,normal,A,01_SE_A_13,1,13
1,Einbahnstraße,Fahrradstraße-Sondermarkierung,breit,nein,normal,A,01_SE_A_14,1,14
1,Einbahnstraße,Fahrradstraße-Hollandaise,breit,nein,normal,A,01_SE_A_15,1,15
1,Einbahnstraße-Gegenverkehr,-,breit,nein,normal,A,01_SE_A_16,1,16
1,Einbahnstraße-Gegenverkehr,Fahrradstraße,breit,nein,normal,A,01_SE_A_17,1,17
1,Einbahnstraße-Gegenverkehr,Spielstraße,breit,nein,normal,A,01_SE_A_18,1,18
1,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,breit,nein,normal,A,01_SE_A_19,1,19
1,Einbahnstraße-Gegenverkehr,Fahrradstraße-Hollandaise,breit,nein,normal,A,01_SE_A_20,1,20
2,KFZ,-,breit,Parken-einseitig,normal,A,01_SE_A_21,1,21
2,KFZ,Fahrradstraße,breit,Parken-einseitig,normal,A,01_SE_A_22,1,22
2,KFZ,Spielstraße,breit,Parken-einseitig,normal,A,01_SE_A_23,1,23
2,KFZ,Fahrradstraße-Sondermarkierung,breit,Parken-einseitig,normal,A,01_SE_A_24,1,24
2,KFZ,Fahrradstraße-Hollandaise,breit,Parken-einseitig,normal,A,01_SE_A_25,1,25
2,Einbahnstraße,-,breit,Parken-einseitig,normal,A,01_SE_A_31,1,31
2,Einbahnstraße,Fahrradstraße,breit,Parken-einseitig,normal,A,01_SE_A_32,1,32
2,Einbahnstraße,Spielstraße,breit,Parken-einseitig,normal,A,01_SE_A_33,1,33
2,Einbahnstraße,Fahrradstraße-Sondermarkierung,breit,Parken-einseitig,normal,A,01_SE_A_34,1,34
2,Einbahnstraße,Fahrradstraße-Hollandaise,breit,Parken-einseitig,normal,A,01_SE_A_35,1,35
2,Einbahnstraße-Gegenverkehr,-,breit,Parken-einseitig,normal,A,01_SE_A_36,1,36
2,Einbahnstraße-Gegenverkehr,Fahrradstraße,breit,Parken-einseitig,normal,A,01_SE_A_37,1,37
2,Einbahnstraße-Gegenverkehr,Spielstraße,breit,Parken-einseitig,normal,A,01_SE_A_38,1,38
